iter	Passed	Remaining
406	6420	33019
407	6436	33002
408	6451	32985
409	6466	32964
410	6481	32945
411	6496	32923
412	6511	32905
413	6526	32887
414	6541	32866
415	6557	32850
416	6572	32829
417	6587	32813
418	6602	32794
419	6617	32770
420	6631	32748
421	6646	32728
422	6665	32729
423	6688	32749
424	6713	32779
425	6732	32777
426	6754	32792
427	6769	32771
428	6784	32753
429	6799	32731
430	6814	32711
431	6840	32743
432	6855	32723
433	6870	32704
434	6886	32688
435	6900	32667
436	6916	32653
437	6932	32634
438	6948	32622
439	6964	32608
440	6980	32589
441	6995	32569
442	7010	32553
443	7029	32549
444	7047	32546
445	7063	32528
446	7078	32508
447	7093	32489
448	7108	32470
449	7124	32454
450	7139	32437
451	7155	32419
452	7169	32398
453	7185	32382
454	7201	32366
455	7217	32352
456	7236	32351
457	7254	32345
458	7271	32333
459	7287	32317
460	7303	32302
461	7318	32285
462	7335	32271
463	7352	32261
464	7367	32244
465	7385	32234
466	7400	32214
467	7417	32204
468	7434	32193
469	7450	32177
470	7467	32168
471	7484	32159
472	7502	32149
473	7518	32137
474	7534	32121
475	7550	32104
476	7566	32090
477	7582	32074
478	7598	32060
479	7615	32046
480	7630	32029
481	7646	32012
482	7661	31993
483	7676	31974
484	7691	31956
485	7707	31939
486	7723	31923
487	7738	31907
488	7755	31893
489	7770	31876
490	7786	31860
491	7801	31841
492	7817	31824
493	7838	31829
494	7854	31815
495	7872	31806
496	7889	31794
497	7905	31782
498	7922	31769
499	7937	31748
500	7952	31728
501	7967	31710
502	7983	31695
503	7999	31681
504	8016	31668
505	8033	31657
506	8050	31646
507	8067	31633
508	8084	31625
509	8102	31614
510	8118	31601
511	8134	31585
512	8151	31573
513	8169	31566
514	8185	31549
515	8202	31539
516	8218	31523
517	8234	31508
518	8251	31495
519	8268	31485
520	8285	31472
521	8302	31461
522	8319	31450
523	8344	31465
524	8362	31458
525	8379	31446
526	8394	31427
527	8411	31413
528	8426	31396
529	8441	31376
530	8457	31359
531	8472	31340
532	8487	31322
533	8501	31300
534	8517	31282
535	8531	31261
536	8546	31241
537	8561	31223
538	8576	31202
539	8591	31183
540	8606	31163
541	8622	31150
542	8638	31133
543	8653	31113
544	8669	31097
545	8685	31084
546	8701	31067
547	8717	31051
548	8733	31036
549	8749	31021
550	8767	31011
551	8783	30997
552	8800	30984
553	8817	30972
554	8835	30965
555	8853	30954
556	8870	30941
557	8887	30932
558	8904	30919
559	8921	30906
560	8937	30891
561	8953	30873
562	8968	30856
563	8986	30848
564	9005	30841
565	9021	30827
566	9040	30819
567	9058	30810
568	9075	30800
569	9094	30794
570	9112	30783
571	9129	30772
572	9148	30766
573	9167	30759
574	9184	30746
575	9201	30734
576	9218	30721
577	9233	30704
578	9251	30693
579	9267	30677
580	9283	30663
581	9300	30648
582	9316	30635
583	9334	30626
584	9351	30610
585	9366	30594
586	9382	30576
587	9400	30566
588	9415	30548
589	9430	30529
590	9446	30513
591	9461	30494
592	9477	30477
593	9492	30458
594	9507	30441
595	9523	30423
596	9539	30409
597	9554	30390
598	9570	30372
599	9587	30360
600	9603	30343
601	9618	30325
602	9634	30309
603	9651	30297
604	9667	30280
605	9683	30265
606	9700	30251
607	9716	30237
608	9733	30222
609	9751	30212
610	9768	30199
611	9786	30190
612	9804	30181
613	9821	30167
614	9839	30159
615	9858	30153
616	9875	30140
617	9892	30125
618	9909	30112
619	9926	30098
620	9943	30087
621	9960	30072
622	9977	30060
623	9993	30043
624	10009	30027
625	10023	30006
626	10039	29990
627	10055	29973
628	10071	29959
629	10088	29944
630	10103	29926
631	10120	29913
632	10136	29896
633	10151	29878
634	10167	29861
635	10182	29844
636	10199	29830
637	10216	29817
638	10232	29799
639	10248	29783
640	10263	29765
641	10278	29747
642	10295	29733
643	10310	29715
644	10327	29702
645	10344	29687
646	10361	29674
647	10376	29656
648	10391	29638
649	10407	29620
650	10422	29603
651	10438	29586
652	10454	29571
653	10470	29554
654	10486	29538
655	10502	29521
656	10518	29505
657	10534	29490
658	10550	29472
659	10566	29458
660	10584	29446
661	10600	29430
662	10617	29417
663	10632	29400
664	10649	29386
665	10666	29373
666	10683	29359
667	10699	29343
668	10715	29326
669	10731	29311
670	10748	29297
671	10763	29279
672	10779	29264
673	10796	29248
674	10811	29232
675	10829	29220
676	10845	29204
677	10862	29190
678	10878	29174
679	10895	29160
680	10910	29143
681	10926	29127
682	10942	29110
683	10958	29095
684	10974	29079
685	10989	29060
686	11006	29045
687	11022	29030
688	11038	29015
689	11055	29000
690	11071	28984
